Index,X,Y
1,0.484736,0.765157
2,0.518547,0.74072
3,0.552323,0.717449
4,0.597197,0.691859
5,0.645885,0.661612
6,0.711117,0.631384
7,0.783805,0.597668
8,0.845291,0.569767
9,0.908409,0.548861
10,0.975307,0.524463
11,1.055209,0.495417
12,1.116386,0.478006
13,1.18318,0.457104
14,1.264783,0.432723
15,1.349925,0.413008
16,1.433331,0.389794
17,1.529536,0.368927
18,1.622099,0.346889
19,1.716397,0.328351
20,1.818014,0.310986
21,1.925179,0.292462
22,2.019408,0.276255
23,2.115337,0.264711
24,2.209532,0.249669
25,2.281496,0.240429
26,2.357102,0.232358
27,2.441968,0.221967
28,2.524893,0.21507
29,2.617215,0.201192
30,2.702012,0.193132
31,2.784971,0.18507
32,2.862381,0.178167
33,2.932369,0.173586
34,2.996877,0.167834
