Index,X,Y
1,0.513502,0.926804
2,0.574065,0.909399
3,0.65293,0.881559
4,0.746518,0.853713
5,0.840038,0.818914
6,0.917039,0.788757
7,0.986701,0.76092
8,1.056374,0.734241
9,1.144349,0.697127
10,1.221396,0.671605
11,1.309394,0.636808
12,1.393792,0.610124
13,1.492855,0.577641
14,1.580911,0.548638
15,1.678111,0.513838
16,1.779004,0.480195
17,1.867105,0.455828
18,1.957024,0.429141
19,2.076333,0.39665
20,2.175501,0.374596
21,2.267283,0.350226
22,2.370166,0.331647
23,2.458348,0.31539
24,2.539191,0.301454
25,2.632906,0.286354
26,2.711932,0.274736
27,2.79281,0.264276
28,2.860815,0.254979
29,2.926969,0.244525
30,3.002348,0.236385
