Index,X,Y
1,1.640313,0.599708
2,0.494705,0.940757
3,0.57405,0.915146
4,0.644164,0.893029
5,0.703207,0.874404
6,0.786289,0.842967
7,0.858242,0.820851
8,0.932127,0.789411
9,1.015277,0.750981
10,1.087288,0.723037
11,1.151941,0.69509
12,1.218376,0.672971
13,1.295928,0.642698
14,1.362375,0.619414
15,1.439904,0.591472
16,1.495291,0.570514
17,1.578304,0.546071
18,1.639187,0.527446
19,1.729545,0.504171
20,1.827307,0.476237
21,1.913963,0.455291
22,2.011691,0.430854
23,2.103888,0.407579
24,2.170243,0.393619
25,2.243967,0.378496
26,2.313989,0.365703
27,2.389575,0.34825
28,2.478013,0.333132
29,2.571947,0.320348
30,2.660386,0.305231
31,2.734052,0.295936
32,2.829859,0.279656
33,2.907227,0.268031
34,2.988239,0.259904
