Index,X,Y
1,0.476472,0.882056
2,0.577477,0.835981
3,0.648649,0.800369
4,0.716038,0.767903
5,0.801907,0.734408
6,0.865606,0.701938
7,0.94028,0.672629
8,1.022428,0.64018
9,1.093569,0.605618
10,1.190446,0.574236
11,1.272625,0.540737
12,1.351052,0.509333
13,1.44427,0.476897
14,1.563443,0.440292
15,1.634208,0.418327
16,1.712322,0.397422
17,1.790436,0.376516
18,1.872209,0.356664
19,1.976309,0.33054
20,2.080283,0.308614
21,2.180474,0.289834
22,2.273285,0.271045
23,2.399243,0.254394
24,2.499402,0.236664
25,2.617918,0.222104
26,2.721611,0.209627
27,2.825272,0.198199
28,2.928965,0.185722
29,2.999293,0.178455
