Index,X,Y
1,0.494172,0.60838
2,0.556748,0.554965
3,0.608282,0.514119
4,0.656135,0.483746
5,0.700307,0.451278
6,0.744479,0.421952
7,0.807055,0.395768
8,0.869632,0.362253
9,0.93589,0.329785
10,0.994785,0.304649
11,1.068405,0.279512
12,1.138344,0.255423
13,1.230368,0.231334
14,1.329755,0.204103
15,1.451227,0.180014
16,1.57638,0.15802
17,1.719939,0.13812
18,1.848773,0.119268
19,1.970245,0.1067
20,2.124847,0.093084
21,2.275767,0.083658
22,2.415644,0.073184
23,2.537117,0.067948
24,2.673313,0.060616
25,2.81319,0.055379
26,2.986196,0.050143
