Index,X,Y
1,0.504294,0.95122
2,0.577914,0.930314
3,0.658896,0.907085
4,0.741718,0.87921
5,0.813497,0.855981
6,0.876074,0.835075
7,0.957055,0.802555
8,1.052761,0.766551
9,1.146626,0.729384
10,1.225767,0.699187
11,1.310429,0.66899
12,1.38773,0.639954
13,1.46135,0.615563
14,1.542331,0.58885
15,1.621472,0.560976
16,1.691411,0.536585
17,1.770552,0.512195
18,1.851534,0.487805
19,1.930675,0.46806
20,2.000613,0.445993
21,2.081595,0.426249
22,2.166258,0.407666
23,2.24908,0.38676
24,2.320859,0.371661
25,2.377914,0.358885
26,2.457055,0.344948
27,2.545399,0.324042
28,2.630061,0.313589
29,2.714724,0.300813
30,2.795706,0.288037
31,2.873006,0.278746
32,2.941104,0.268293
33,3,0.260163
